NetworkManager::m_4B6	ReadPhysicMaterialState	CALLEES=AnimationPlayableExtensions::SetAnimatedPropertiesInternal | GridLayout::LocalToCellInterpolated_Injected	STRINGS=UnityEngine.Collider::get_material() | UnityEngine.Component::get_transform() | UnityEngine.PhysicMaterial::get_bounceCombine() | UnityEngine.PhysicMaterial::get_bounciness() | UnityEngine.PhysicMaterial::set_bounceCombine(UnityEngine.PhysicMaterialCombine) | UnityEngine.PhysicMaterial::set_bounciness(System.Single)
NetworkManager::m_949	GetTransform_355	CALLEES=Service23m_03CE::Destroy	STRINGS=
NetworkSyncableRelated_B4DB::m_FEA	ToString	CALLEES=<RunOnThreadPool>d__101::MoveNext	STRINGS=
NetworkSyncableSibling_7FE1::m_07B	ContainsChild	CALLEES=<RunOnThreadPool>d__101::MoveNext	STRINGS=
NetworkSyncable_13B8::m_96A	Start	CALLEES=DateTime::System.IConvertible.ToSingle	STRINGS=
NetworkSyncable_8A3D::m_02F	Start	CALLEES=	STRINGS=UnityEngine.Behaviour::set_enabled(System.Boolean)
NetworkSyncable_DD31::m_D8D	OnEnable	CALLEES=	STRINGS=UnityEngine.Application::OpenURL(System.String)
NetworkSyncable_DD31::m_F21	MoveNextAsyncState	CALLEES=AsyncStateMachine_B3D6::MoveNext	STRINGS=
NetworkSyncable_F9B6::m_1FC	FindRelativeTransform	CALLEES=	STRINGS=UnityEngine.GameObject::get_transform() | UnityEngine.Transform::FindRelativeTransformWithPath(UnityEngine.Transform,System.String,System.Boolean)
OVRLipSyncContext::m_932	InvokeRepeating	CALLEES=AnimationPlayableExtensions::SetAnimatedPropertiesInternal	STRINGS=
OVRLipSyncSibling_DFF0::m_B63	Initialize	CALLEES=Static10m_41A5::GetHashCode	STRINGS=
PIDController::m_B43	ToString	CALLEES=	STRINGS=UnityEngine.RectTransform::set_anchoredPosition_Injected(UnityEngine.Vector2&)
PIDControllerSiblingSiblingSibSibling_290B::m_268	Initialize	CALLEES=	STRINGS=UnityEngine.Joint::set_connectedBody(UnityEngine.Rigidbody)
PIDControllerSiblingSiblingSibSibling_290B::m_DDE	SetPidControlActive	CALLEES=MuscleHandle::GetMuscleHandles	STRINGS=UnityEngine.GameObject::SetActive(System.Boolean) | UnityEngine.GameObject::get_transform()
PIDControllerSiblingSiblingSibling_2E92::m_35C	.ctor	CALLEES=	STRINGS=UnityEngine.Component::get_transform()
PIDControllerSiblingSiblingSibling_2E92::m_676	Initialize	CALLEES=	STRINGS=UnityEngine.GameObject::SetActive(System.Boolean)
PIDControllerSiblingSiblingSibling_881D::m_79D	<MISSING>	CALLEES=ExternUnityEngineUIMaskableGraphic::__GetComponentsInChildren__SystemType__UnityEngineComponentArray	STRINGS=
